Ticker,BestModel,window,units,batch,lr,Test_MSE,Test_RMSE,Test_MAE
BBVA,RNN,30,32,32,0.001,0.0001023694421746768,0.010117778519748138,0.00710692536085844
SAN,RNN,10,64,32,0.001,0.00011655580601654947,0.01079610142674426,0.007534263655543327
