Ticker,BestModel,window,units,batch,lr,Test_MSE,Test_RMSE,Test_MAE
BBVA,LSTM,30,128,32,0.0005,0.0001177393496618,0.0108507764543308,0.0077823409810662
SAN,LSTM,10,128,64,0.001,6.672879680991173e-05,0.0081687696019603,0.0057923877611756
BBVA,RNN,30,32,32,0.001,0.0001023694421746768,0.010117778519748138,0.00710692536085844
SAN,RNN,10,64,32,0.001,0.00011655580601654947,0.01079610142674426,0.007534263655543327
