Date,Sentiment_text
2021-01-01,-0.31043061008676887
2021-01-02,-0.4131310284137726
2021-01-03,-0.04100042954087256
2021-01-04,-0.23283865470439194
2021-01-05,0.31505632959306246
2021-01-06,-0.07928964681923392
2021-01-07,-0.20604916953016073
2021-01-08,-0.4609718892856368
2021-01-09,-0.26981142458195484
2021-01-10,-0.11777597789963085
2021-01-11,-0.5391164138369883
2021-01-12,-0.1608124900764475
2021-01-13,-0.015310560042659486
2021-01-14,-0.18157646133165276
2021-01-15,-0.35128289635758847
2021-01-16,0.0
2021-01-17,0.25197832635603845
2021-01-18,-0.19148862187284976
2021-01-19,0.3134069430331389
2021-01-20,-0.1903689139123474
2021-01-21,-0.6297285105101764
2021-01-22,-0.29768328469557065
2021-01-23,-0.1179073229432106
2021-01-24,-0.08504296792671084
2021-01-25,-0.11954370411112905
2021-01-26,-0.091123453900218
2021-01-27,-0.16827195324003696
2021-01-28,-0.09732150379568336
2021-01-29,-0.23162651294842362
2021-01-30,-0.07836915552616114
2021-01-31,-0.1651658769696951
2021-02-01,-0.27994138390446704
2021-02-02,0.01894405297935009
2021-02-03,-0.5893158579710871
2021-02-04,-0.11881871609948576
2021-02-05,-0.16674926783889532
2021-02-06,-0.3715572305954993
2021-02-07,-0.12771412996309142
2021-02-08,-0.24351480991269153
2021-02-09,-0.2752686738967896
2021-02-10,-0.06263961705068749
2021-02-11,0.04908573565383753
2021-02-12,0.014589403374967252
2021-02-13,-0.6937865195795894
2021-02-14,-0.259598774369806
2021-02-15,0.02454302553087473
2021-02-16,-0.08399883603366713
2021-02-17,0.005936916917562471
2021-02-18,-0.14347954299300908
2021-02-19,-0.18971889826934785
2021-02-20,0.19466754421591753
2021-02-21,-0.0031883430977662497
2021-02-22,0.031354166256884725
2021-02-23,-0.14944425455178134
2021-02-24,-0.2130269967019558
2021-02-25,-0.0630553455557674
2021-02-26,-0.159837442683056
2021-02-27,-0.30137389339506626
2021-02-28,-0.03196397175391511
2021-03-01,-0.17239287743965784
2021-03-02,-0.2479304492007941
2021-03-03,-0.03505877343316868
2021-03-04,-0.19013524039958915
2021-03-05,-0.391752066439949
2021-03-06,0.3230181708931923
2021-03-07,0.014868751168251027
2021-03-08,-0.17293479219079017
2021-03-09,-0.3008554013213143
2021-03-10,-0.1064471004065126
2021-03-11,-0.24974488839507103
2021-03-12,-0.18670670610542098
2021-03-13,-0.24271255475468934
2021-03-14,-0.4179809298366308
2021-03-15,-0.3841414923469226
2021-03-16,-0.050023549934849115
2021-03-17,-0.3860674067400396
2021-03-18,0.1744965575635433
2021-03-19,-0.3965518449433148
2021-03-20,0.0
2021-03-21,0.016561210155487047
2021-03-22,-0.26871290143268806
2021-03-23,-0.3145065714072968
2021-03-24,-0.16157421159247556
2021-03-25,-0.48851765211050713
2021-03-26,-0.46888277718486887
2021-03-27,0.0707222446799278
2021-03-28,-0.48718930687755346
2021-03-29,-0.16239194106310606
2021-03-30,-0.34530729410471395
2021-03-31,-0.3188246814534068
2021-04-01,0.018711583688855178
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,-0.023823332041502
2021-04-05,-0.2721911227563396
2021-04-06,-0.09127831583221753
2021-04-07,-0.3008687566034495
2021-04-08,-0.011140500816206156
2021-04-09,0.015357305916647107
2021-04-10,0.0536992400884628
2021-04-11,0.1791541166603565
2021-04-12,-0.6196202244609594
2021-04-13,-0.07611288343157087
2021-04-14,-0.09675039938883857
2021-04-15,-0.211933583766222
2021-04-16,-0.29691754339728504
2021-04-17,0.0
2021-04-18,-0.38408825965598226
2021-04-19,0.035278581792399996
2021-04-20,-0.20069147078320382
2021-04-21,-0.26699585700407624
2021-04-22,-0.331394427921623
2021-04-23,-0.3011673307046294
2021-04-24,-0.009025320410728451
2021-04-25,0.0504897683858871
2021-04-26,-0.25260651553981006
2021-04-27,-0.1430960923433304
2021-04-28,-0.4488621870521456
2021-04-29,-0.17200952731072902
2021-04-30,-0.11093676738840129
2021-05-01,-0.04820833727717399
2021-05-02,0.029816661030054092
2021-05-03,-0.2883208966813981
2021-05-04,-0.25666599906980986
2021-05-05,-0.19975778844673187
2021-05-06,-0.15662031221602643
2021-05-07,0.25004260148853064
2021-05-08,-0.3390474650077522
2021-05-09,-0.5716771450825036
2021-05-10,-0.16907459194771945
2021-05-11,-0.4623987889848649
2021-05-12,-0.20717358402907846
2021-05-13,-0.05430562235414982
2021-05-14,-0.45801600022241473
2021-05-15,-0.20121454203035682
2021-05-16,-0.30932286428287625
2021-05-17,-0.3340251105837524
2021-05-18,-0.1849017441738397
2021-05-19,-0.33750724859742653
2021-05-20,-0.26761865918524563
2021-05-21,0.029179300181567655
2021-05-22,0.10611726529896257
2021-05-23,0.011540667464335746
2021-05-24,-0.19022492654039524
2021-05-25,-0.14014969384297726
2021-05-26,-0.10065681929700078
2021-05-27,-0.14340319263283163
2021-05-28,-0.06602301215752962
2021-05-29,-0.13193085587893924
2021-05-30,-0.10741268160442513
2021-05-31,-0.15227181216080982
2021-06-01,0.052345737349241944
2021-06-02,-0.10475172568112609
2021-06-03,-0.44033411927521227
2021-06-04,-0.19618149753659958
2021-06-05,0.1076630353927612
2021-06-06,0.09334897808730605
2021-06-07,-0.1815882883965969
2021-06-08,-0.33027378570598864
2021-06-09,-0.14715318384890755
2021-06-10,-0.2549801037821453
2021-06-11,-0.26307652331888676
2021-06-12,0.0
2021-06-13,-0.09059953503310678
2021-06-14,0.15481408163905144
2021-06-15,-0.03890615422278644
2021-06-16,0.1957968799397349
2021-06-17,0.010535055771470075
