Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Dividends_bin,SMA_5,SMA_10,SMA_20,EMA_10,RSI_14,Volatility_10
2000-01-03,0.1549235302097955,0.669129356286867,0.0,0.6682077215874138,0.6729640177135222,0.6732457308556152,0.0,0.0137198062069553,0,,,,0.669129356286867,,
2000-01-04,0.1481843926081603,0.6483798318126912,0.0,0.6554036024481427,0.650973669592992,0.6592339261323963,0.0,0.0141821762224381,0,,,,0.6653567154733804,,
2000-01-05,0.1425382129472374,0.6309951612898062,0.0,0.6364758798704662,0.6329303127731323,0.6412988227628318,0.0,0.0202359601635777,0,,,,0.6591091601672758,,
2000-01-06,0.1425382129472374,0.6309951612898062,0.0,0.6225584335480454,0.636313456169508,0.6312104279552233,0.0,0.0,0,,,,0.6539975240077358,,
2000-01-07,0.1456345689356293,0.6405287100390713,0.0,0.6387026447571591,0.6380049998823917,0.6474640301933601,0.0,0.1036141650785884,0,0.6440056441436484,,,0.651548648740706,,
2000-01-10,0.1416275746998244,0.6281910977746947,0.0,0.6403727736823754,0.6323664088982298,0.6491454756901551,0.0,0.0977536522998418,0,0.635817992441214,,,0.6473018212923403,,
2000-01-11,0.1367098964918883,0.6130495889965277,0.0,0.618104793254266,0.6109399646526021,0.6256056838120827,0.0,0.0112519073518253,0,0.6287519438779812,,,0.6410741426931016,,
2000-01-12,0.1359256718489081,0.6046376211196216,0.103088,0.603630655710172,0.602482078176359,0.6121543980108837,0.0,0.013757244933118,1,0.6234804358439443,,,0.6344493205888325,,
2000-01-13,0.1300494054056707,0.5866921044934501,0.0,0.5975069970115698,0.5855664731356964,0.6031868741434179,0.0,0.015597670271795,0,0.614619824484673,,,0.625766190389672,,
2000-01-14,0.1346402585690141,0.6007120880663652,0.0,0.5941667944213338,0.5928966078327425,0.5919774414917691,0.0,0.0142091972739874,0,0.6066565000901318,0.6253310721168901,,0.6212108990581616,,0.02456502643493313
2000-01-17,0.1324367234294843,0.5939824358308905,0.0,0.5975069970115698,0.5974073910670994,0.6059892462149881,0.0,0.0113580577979743,0,0.599814767701371,0.6178163800712925,,0.6162602693804758,,0.02089844770709811
2000-01-18,0.1274786398121738,0.5788409827198304,0.0,0.5852596243541688,0.5759808908508639,0.5925379047791566,0.0,0.016140692393103,0,0.5929730464460314,0.6108624951620063,,0.6094567627149039,,0.02116626748215818
2000-01-19,0.1271113483919158,0.5777193461803645,0.0,0.5696720491065317,0.5686508121244258,0.5661957964641464,0.0,0.021679838215843,0,0.5875893914581802,0.6055349136510622,,0.6036863233449876,,0.022214636675411174
2000-01-20,0.1267441484210942,0.5765977653080054,0.0,0.5757957630653305,0.5748532510128826,0.5807680644747528,0.0,0.0157418136111428,0,0.5855705236210913,0.6000951740528822,,0.5987611309746272,,0.0219459877857397
2000-01-21,0.1219697714802038,0.562016991298911,0.0,0.5668885929981655,0.5647038208237555,0.5712400216852669,0.0,0.0112932685155382,0,0.5778315042676003,0.5922440021788662,,0.5920803783063151,7.214239103717858,0.019813871657591246
2000-01-24,0.1230714628421049,0.565381789583095,0.0,0.5691153026246618,0.5686508121244258,0.5774051734811625,0.0,0.0097584621368825,0,0.5721113750180413,0.5859630713597062,,0.5872260894475478,8.88890594930821,0.016892435699598085
2000-01-25,0.1280295159762699,0.580523354028369,0.0,0.5813627305422595,0.5675231163158366,0.5650748698893713,0.0,0.0156925792815201,0,0.5724478492797489,0.5827104478628902,,0.5860074102804244,16.21712972005514,0.013977382307857689
2000-01-26,0.1351911652162557,0.6023944593749038,0.0,0.5975069970115698,0.5883857126571697,0.5919774414917691,0.0,0.0151785153001399,0,0.5773828719186568,0.5824861316884185,,0.5889868737521479,25.534001989326555,0.013599269385330917
2000-01-27,0.1445564562867807,0.6309951612898062,0.0,0.6309088571333406,0.6115037565862889,0.6104729525140886,0.0,0.0227359724159946,0,0.588262351115017,0.5869164373680541,,0.5966247442135402,35.61674060137932,0.020557833899661707
2000-01-28,0.1436382734608537,0.6281910977746947,0.0,0.6342490597235766,0.6137592041740753,0.6429802682596271,0.0,0.0268261478407318,0,0.6014971724101738,0.589664338338887,0.6074977052278886,0.6023640812246591,35.11473823107259,0.02413247887035547
2000-01-31,0.139965557398719,0.6169752333839982,0.0,0.6231151247697186,0.6137592041740753,0.6289685191710406,0.0,0.0164226186321225,0,0.6118158611703544,0.5919636180941978,0.6048899990827452,0.6050206543445389,33.10484608170566,0.02563799475634247
2000-02-01,0.1432708905911592,0.6270695169023359,0.0,0.6247851984347383,0.619961643062532,0.6272870736742455,0.0,0.0158607315332717,0,0.6211250937451478,0.5967864715124483,0.6038244833372274,0.6090295384459565,36.62090991338324,0.027372700100557455
2000-02-02,0.1425365058910889,0.6248263551576179,0.0,0.6203316134011558,0.6188338912833349,0.6289685191710406,0.0,0.0127283065218695,0,0.6256114729016906,0.6014971724101738,0.603516043030618,0.6119016869389858,36.16599281571877,0.027777199231028928
2000-02-03,0.1445564562867807,0.6309951612898062,0.0,0.6309088571333406,0.619961643062532,0.6267266103868578,0.0,0.0129247196282993,0,0.6256114729016906,0.6069369120083538,0.6035160430306179,0.6153732277300441,38.43110493554845,0.027685532481435918
2000-02-04,0.1408839078819461,0.6197791855648958,0.0,0.6309088571333406,0.6222170906503185,0.6396174329006692,0.0,0.0175019313262063,0,0.6239290904597308,0.6127131314349522,0.6024785668069093,0.6161743109727443,35.934392496473095,0.022881035291121867
2000-02-07,0.1362929785107389,0.6057592576590876,0.0,0.6158780283675733,0.6092483649691103,0.6216823851657372,0.0,0.0135382441114281,0,0.6216858953147486,0.6167508782425515,0.6013569748011288,0.6142806649157158,33.04452108300259,0.016182783822159017
2000-02-08,0.145474608629562,0.6337991134707037,0.0,0.6253418896564116,0.6019182862426723,0.6054287272929681,0.0,0.02282322293713,0,0.6230318146284223,0.622078454186785,0.6023944510248377,0.6178294737438953,42.92986514595963,0.010808024741942977
