Ticker,Model,window,units,batch,lr,val_MSE,val_RMSE,val_MAE,best_epoch
BBVA,GRU,20,64,32,0.0005,5.057269663666375e-05,0.007111448279827658,0.005416901782155037,8
BBVA,LSTM,20,64,64,0.001,0.00027587992371991277,0.016609633461335406,0.012110966257750988,1
BBVA,GRU,20,64,64,0.001,4.272099249646999e-05,0.006536129779653246,0.004705159924924374,23
BBVA,LSTM,20,64,64,0.0005,4.587103830999695e-05,0.006772816128465097,0.0048506008461117744,120
BBVA,GRU,20,64,64,0.0005,7.601091056130826e-05,0.00871842362823167,0.006770926062017679,21
BBVA,LSTM,20,128,32,0.001,4.356589852250181e-05,0.006600446842638899,0.0051676020957529545,49
BBVA,GRU,20,128,32,0.001,4.2215560824843124e-05,0.0064973502926072195,0.0048639774322509766,6
BBVA,LSTM,20,128,32,0.0005,3.2654646929586306e-05,0.005714424461797207,0.004246739204972982,93
BBVA,GRU,20,128,32,0.0005,5.050488107372075e-05,0.007106678624626328,0.00536748580634594,6
BBVA,LSTM,20,128,64,0.001,0.00010313818347640336,0.010155697094557485,0.00771672697737813,2
BBVA,GRU,20,128,64,0.001,4.3267180444672704e-05,0.00657777929431147,0.004809222184121609,20
BBVA,LSTM,20,128,64,0.0005,3.424323222134262e-05,0.0058517717164413225,0.004408509004861116,120
BBVA,GRU,20,128,64,0.0005,4.8081106797326356e-05,0.006934054138620953,0.005026809871196747,24
BBVA,LSTM,30,32,32,0.001,3.589312109397724e-05,0.005991086804076306,0.004516235552728176,70
BBVA,GRU,30,32,32,0.001,5.219359081820585e-05,0.007224513189011828,0.0055361781269311905,37
BBVA,LSTM,30,32,32,0.0005,5.285257429932244e-05,0.007269977599643787,0.0056637064553797245,38
BBVA,GRU,30,32,32,0.0005,5.998010965413414e-05,0.007744682669685966,0.006042738910764456,9
BBVA,LSTM,30,32,64,0.001,8.076836093096063e-05,0.008987121949264994,0.007250200491398573,120
BBVA,GRU,30,32,64,0.001,8.706853986950591e-05,0.009331052452403529,0.0076576718129217625,38
BBVA,LSTM,30,32,64,0.0005,0.00017809082055464387,0.013345067274264445,0.010957582853734493,2
BBVA,GRU,30,32,64,0.0005,5.065489312983118e-05,0.0071172251004047345,0.004873715341091156,17
BBVA,LSTM,30,64,32,0.001,3.492407267913222e-05,0.005909659269292285,0.004467454738914967,75
BBVA,GRU,30,64,32,0.001,4.136816642130725e-05,0.006431808954042964,0.004730211105197668,13
BBVA,LSTM,30,64,32,0.0005,3.307059159851633e-05,0.0057507035742173605,0.004302008077502251,93
BBVA,GRU,30,64,32,0.0005,4.712392546935007e-05,0.0068646868442304105,0.0052030631341040134,16
BBVA,LSTM,30,64,64,0.001,4.819923924515024e-05,0.006942567194140092,0.005260787904262543,58
BBVA,GRU,30,64,64,0.001,4.770574378198944e-05,0.006906934470659863,0.00496691046282649,5
BBVA,LSTM,30,64,64,0.0005,8.618561696493998e-05,0.009283620897308333,0.007575236726552248,120
BBVA,GRU,30,64,64,0.0005,6.742808182025328e-05,0.008211460395097408,0.006454742979258299,16
BBVA,LSTM,30,128,32,0.001,3.3970984077313915e-05,0.0058284632689340945,0.004353669006377459,79
BBVA,GRU,30,128,32,0.001,4.19576681451872e-05,0.006477473901544274,0.004760103765875101,4
BBVA,LSTM,30,128,32,0.0005,3.227509296266362e-05,0.005681117228385947,0.004284318070858717,65
BBVA,GRU,30,128,32,0.0005,4.093684401595965e-05,0.006398190682994658,0.0047048102132976055,11
BBVA,LSTM,30,128,64,0.001,5.5038832215359434e-05,0.00741881609256891,0.005748475436121225,85
BBVA,GRU,30,128,64,0.001,5.02608745591715e-05,0.007089490430148806,0.005276800133287907,14
BBVA,LSTM,30,128,64,0.0005,0.00011380889191059396,0.010668125041945935,0.008116880431771278,2
BBVA,GRU,30,128,64,0.0005,6.186510290717706e-05,0.007865437235600896,0.005976923741400242,18
