Ticker,BestModel,window,units,batch,lr,Test_MSE,Test_RMSE,Test_MAE
BBVA,LSTM,30,128,32,0.0005,0.00011773934966186062,0.010850776454330843,0.007782340981066227
SAN,LSTM,10,128,64,0.001,6.672879680991173e-05,0.008168769601960366,0.0057923877611756325
