Ticker,Model,window,units,batch,lr,val_MSE,val_RMSE,val_MAE,best_epoch
SAN,LSTM,10,32,32,0.001,0.000325482280459255,0.018041127471952936,0.012906922958791256,2
SAN,GRU,10,32,32,0.001,5.9724658058257774e-05,0.007728173009079039,0.0058057187125086784,5
SAN,LSTM,10,32,32,0.0005,4.741438533528708e-05,0.006885810434167287,0.0051462166011333466,120
SAN,GRU,10,32,32,0.0005,4.552488826448098e-05,0.006747213370309329,0.00499670160934329,115
SAN,LSTM,10,32,64,0.001,0.00031283163116313517,0.017687046988209627,0.014066965319216251,3
SAN,GRU,10,32,64,0.001,9.657901682658121e-05,0.009827462379810019,0.0075922757387161255,41
SAN,LSTM,10,32,64,0.0005,0.0003323686250951141,0.018230979817198914,0.013577713631093502,2
SAN,GRU,10,32,64,0.0005,5.9302128647686914e-05,0.007700787534251735,0.00561278872191906,11
SAN,LSTM,10,64,32,0.001,4.966072447132319e-05,0.007047036573718289,0.0052454303950071335,48
SAN,GRU,10,64,32,0.001,6.630769348703325e-05,0.008142953609534641,0.006140804383903742,3
SAN,LSTM,10,64,32,0.0005,0.00012031577352900058,0.010968854704525927,0.00867196824401617,2
SAN,GRU,10,64,32,0.0005,6.301682151388377e-05,0.007938313518240746,0.00611518882215023,6
SAN,LSTM,10,64,64,0.001,0.00010350901720812544,0.010173938136637427,0.007905467413365841,1
SAN,GRU,10,64,64,0.001,6.313846097327769e-05,0.007945971367509304,0.00621225917711854,6
SAN,LSTM,10,64,64,0.0005,0.0002721945638768375,0.016498320031955904,0.01253028865903616,5
SAN,GRU,10,64,64,0.0005,7.531642768299207e-05,0.008678503769832221,0.006533144041895866,38
SAN,LSTM,10,128,32,0.001,4.3854626710526645e-05,0.006622282590657593,0.004911850206553936,68
SAN,GRU,10,128,32,0.001,5.786770998383872e-05,0.007607082882671827,0.005668713711202145,4
SAN,LSTM,10,128,32,0.0005,4.253441147739068e-05,0.006521841111020007,0.004931349772959948,86
SAN,GRU,10,128,32,0.0005,6.517667497973889e-05,0.008073207230075225,0.0059901135973632336,22
SAN,LSTM,10,128,64,0.001,3.977713640779257e-05,0.006306911796417686,0.004706059582531452,106
SAN,GRU,10,128,64,0.001,6.439879507524893e-05,0.008024885985186888,0.00622155936434865,10
SAN,LSTM,10,128,64,0.0005,0.00018892843218054622,0.013745123941985618,0.01038268581032753,2
SAN,GRU,10,128,64,0.0005,6.493402906926349e-05,0.008058165366214787,0.0061407326720654964,5
SAN,LSTM,20,32,32,0.001,0.00023788935504853725,0.015423662180187208,0.011255194433033466,1
SAN,GRU,20,32,32,0.001,5.532451905310154e-05,0.00743804537853202,0.005696509033441544,5
SAN,LSTM,20,32,32,0.0005,4.584891939884983e-05,0.006771183013244424,0.005298985633999109,84
SAN,GRU,20,32,32,0.0005,5.5728803999954835e-05,0.007465172737449203,0.005701203364878893,25
SAN,LSTM,20,32,64,0.001,0.0003634620807133615,0.01906468150044373,0.01451033540070057,2
SAN,GRU,20,32,64,0.001,6.512965774163604e-05,0.008070294774147722,0.00614265538752079,5
SAN,LSTM,20,32,64,0.0005,0.0001045782191795297,0.010226349259610181,0.007430289871990681,36
SAN,GRU,20,32,64,0.0005,7.068936974974349e-05,0.008407697053875306,0.0061829593032598495,64
