Date,Close,High,Low,Open,Volume
2000-01-03,2.6250650882720948e+16,2.66197261005424e+16,2.5950774408788796e+16,2652745856695469.0,8797337.0
2000-01-04,2562784433364868.0,2.606612359511085e+16,2.539717157324472e+16,2592772095556309.0,8811013.0
2000-01-05,2500501871109009.0,2.5466364072099384e+16,2479741228194163.0,2.5143421302698604e+16,9333517.0
2000-01-06,2500501871109009.0,2500501871109009.0,2500501871109009.0,2500501871109009.0,0.0
2000-01-07,2611226797103882.0,2618146931550014.0,2.5166507790942548e+16,2518957405851716.0,9603132.0
2000-01-10,2.5881576538085936e+16,2634292189210221.0,2565090131934215.0,2634292189210221.0,6747710.0
2000-01-11,2500501871109009.0,2.5881576930396304e+16,2.4566734517965604e+16,2583544188594824.0,15293569.0
2000-01-12,2.477434873580933e+16,2.477434873580933e+16,2.4359135789574452e+16,2472821113985409.0,12052290.0
2000-01-13,2456674098968506.0,2.4935821442498004e+16,2424379813521009.0,2.4912755185065376e+16,11043549.0
2000-01-14,2.5212621688842772e+16,2.539716185997692e+16,2.4497532338301364e+16,2468207250943551.0,15745712.0
2000-01-17,2.4543676376342772e+16,2565091018374206.0,2.4336069878596876e+16,2560477766578655.0,31619384.0
2000-01-18,2.3298041820526124e+16,2.4451408239391756e+16,2.3159636630228612e+16,2.4451408239391756e+16,20093136.0
2000-01-19,2.3298041820526124e+16,2.332110808137401e+16,2.2767492403657444e+16,2.3090435305948228e+16,20666919.0
2000-01-20,2.3782451152801516e+16,2.417459529657976e+16,2.3436442062715332e+16,2.3528709628363264e+16,11769910.0
2000-01-21,2304429531097412.0,2415152897119298.0,2.2905892692031884e+16,2.3943922501043436e+16,18255137.0
2000-01-24,2.3298041820526124e+16,2.3759389913114412e+16,2.3067369045100344e+16,2.3298041820526124e+16,9894501.0
2000-01-25,2.3298041820526124e+16,2.3344176883958628e+16,2.2928963854802836e+16,2.3067369045100344e+16,15844637.0
2000-01-26,2.3897786140441892e+16,2.3966987446128184e+16,2.3298035560443252e+16,235979121213106.0,22642896.0
2000-01-27,2.3966989517211916e+16,2417459599394695.0,2.3644046673787704e+16,2415152973730362.0,50176740.0
2000-01-28,2.3228838443756104e+16,2408232814576487.0,2.3136568325044044e+16,2408232814576487.0,13102872.0
2000-01-31,2.335641145706177e+16,237043208752476.0,2307808341137395.0,2.3425992829559784e+16,49721466.0
2000-02-01,2363473653793335.0,2620927511005494.0,2326363167167025.0,2620927511005494.0,11642759.0
2000-02-02,2363473653793335.0,23866676120962.0,2.3310020099415064e+16,2384348318493731.0,10673286.0
2000-02-03,2.3959450721740724e+16,2.4214583216784756e+16,2342598768642017.0,2.3704315671001504e+16,11396777.0
2000-02-04,2416818857192993.0,2444651645543082.0,2.3913053613848176e+16,2423776990388159.0,13899128.0
2000-02-07,2491039514541626.0,2491039514541626.0,2428415556165358.0,2444651368829272.0,12468731.0
2000-02-08,2.53278923034668e+16,2549025045640213.0,2463206872723608.0,2495678758880113.0,12234462.0
2000-02-09,2.486402273178101e+16,2551345827837411.0,2.4492920356150484e+16,2551345827837411.0,10918965.0
2000-02-10,2.4353737831115724e+16,2486400515363508.0,2402902156523229.0,2465526117330494.0,9146146.0
2000-02-11,2303168535232544.0,2.4376936584988376e+16,2284613169561698.0,2.435374365574716e+16,17391741.0
2000-02-14,2414499282836914.0,2509595131840793.0,2.3078069712495184e+16,2393624627908891.0,26742175.0
2000-02-15,2.4539291858673096e+16,2.5304699324353612e+16,2.4237771035673444e+16,2446971052347231.0,21321476.0
2000-02-16,257685923576355.0,2.5838173730795396e+16,2.4724858981758144e+16,2.5119159392954372e+16,33672600.0
2000-02-17,257453989982605.0,2616288978610132.0,2.5536652326492224e+16,2.5583040759740252e+16,16808772.0
2000-02-18,2.50959587097168e+16,2.5861361245375948e+16,2.50959587097168e+16,2576858440599454.0,18340717.0
2000-02-21,2553664207458496.0,2.5699000247925104e+16,2481762548143954.0,2493359779584939.0,8925338.0
2000-02-22,2518873691558838.0,2586136527229732.0,2491040890980017.0,2551345334829052.0,11592996.0
2000-02-23,257453989982605.0,257453989982605.0,2493360780565928.0,2539748702674813.0,9405260.0
2000-02-24,2.5049564838409424e+16,2572219038830152.0,2.4933595092269024e+16,2.5513443822971028e+16,11082867.0
2000-02-25,2521191358566284.0,2.560621108653672e+16,2493358578765226.0,2.5119136801094824e+16,9944867.0
2000-02-28,2507277250289917.0,2.54206845015142e+16,2488722131114817.0,25281519190929.0,9537525.0
2000-02-29,2528150796890259.0,2.5745389575914916e+16,2507276137353178.0,2518873113636116.0,7498301.0
2000-03-01,2523512601852417.0,2544387266738127.0,2.4979993497205892e+16,2.539748423922465e+16,9141201.0
