Date,Close,High,Low,Open,Volume
2000-01-03,4115111351013184.0,415574043300359.0,410640530434585.0,4135426036043307.0,8244257.0
2000-01-04,4007733345031738.0,4088990892523861.0,3.993223274457928e+16,4062872477421306.0,8522096.0
2000-01-05,3917771816253662.0,3990323066164889.0,3900359435615416.0,3.970008382028747e+16,12159826.0
2000-01-06,3917771816253662.0,3.9177718162536616e+16,3.9177718162536616e+16,3.9177718162536616e+16,0.0
2000-01-07,3967106580734253.0,4001931053291884.0,3926477789358833.0,4001931053291884.0,62261944.0
2000-01-10,3.903262376785278e+16,401063870943403.0,3.897458344124237e+16,401063870943403.0,58740351.0
2000-01-11,3824906826019287.0,3.894556077688711e+16,3787180328075368.0,3.8887520454004e+16,6761292.0
2000-01-12,3.812411546707153e+16,3.85044797427365e+16,3.774375119140657e+16,3.85044797427365e+16,8266754.0
2000-01-13,3718784809112549.0,3818264659630741.0,3.686600330977855e+16,3.803635192968983e+16,9372669.0
2000-01-14,379193115234375.0,3800708656460695.0,3.724636082811071e+16,3745116925750608.0,8538333.0
2000-01-17,3756821393966675.0,3818265102993814.0,3.7480438872109944e+16,3818265102993814.0,6825078.0
2000-01-18,3677823305130005.0,3.753895902741741e+16,3636860735045356.0,3.748043941052878e+16,9698972.0
2000-01-19,3671970844268799.0,3671970844268799.0,3598824092227981.0,3.610527433146043e+16,13027455.0
2000-01-20,3666119337081909.0,3704155777628199.0,363100902232976.0,3.686600475034963e+16,9459285.0
2000-01-21,3.5900468826293944e+16,365734226563988.0,3.5783435397992972e+16,3636860834818497.0,6786146.0
2000-01-24,3.60759973526001e+16,3.6690428242244904e+16,3.5988222341034156e+16,3.6690428242244904e+16,5863878.0
2000-01-25,3.686600208282471e+16,3.733414151520886e+16,3.5929723218056404e+16,3.6046756623980936e+16,9429700.0
2000-01-26,3.8007097244262696e+16,38182650280273.0,3.701229864309991e+16,3745117978095397.0,9120798.0
2000-01-27,394992995262146.0,3.993817782452907e+16,3821191137349396.0,3.841672279502408e+16,13662088.0
