Date,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Dividends_bin,SMA_5,SMA_10,SMA_20,EMA_10,RSI_14,Volatility_10,ATR_14
2000-01-28,0.14363827346085367,0.6281910977746946,0.0,0.6342490597235765,0.6137592041740753,0.6429802682596271,0.0,0.0268261478407318,0,0.6058312132611595,0.5951349605887224,0.6220954628357546,0.6096805148572083,0.3242269482185477,0.3608742695376206,0.29331737893971144
2000-01-31,0.13996555739871896,0.6169752333839981,0.0,0.6231151247697185,0.6137592041740753,0.6289685191710406,0.0,0.0164226186321225,0,0.6162787984738745,0.5974845052317304,0.619382395244884,0.6124072992784129,0.2978263595906842,0.38492388753703266,0.28793581359072995
2000-02-01,0.14327089059115916,0.6270695169023358,0.0,0.6247851984347382,0.619961643062532,0.6272870736742455,0.0,0.0158607315332717,0,0.6257043178252725,0.6024127917469703,0.6182738285292245,0.6165221352798609,0.3440110042934695,0.41263465516042375,0.2826720136730721
2000-02-02,0.14253650589108888,0.6248263551576178,0.0,0.6203316134011557,0.6188338912833349,0.6289685191710406,0.0,0.0127283065218695,0,0.6302467388269996,0.6072264739591928,0.6179529260375314,0.6194701925750175,0.33803551990789976,0.4190962605539506,0.2619883962460883
2000-02-03,0.14455645628678068,0.630995161289806,0.0,0.6309088571333404,0.619961643062532,0.6267266103868578,0.0,0.0129247196282993,0,0.6302467388269996,0.612785132492475,0.6179529260375313,0.6230334836720313,0.3677885060521796,0.4176319450116977,0.2686169978454647
2000-02-04,0.14088390788194607,0.6197791855648956,0.0,0.6309088571333404,0.6222170906503185,0.6396174329006692,0.0,0.0175019313262063,0,0.6285433408147851,0.6186876266884315,0.6168735317491506,0.6238557389639849,0.33499337421047376,0.34088328816803243,0.27906496358228816
2000-02-07,0.13629297851073888,0.6057592576590874,0.0,0.6158780283675732,0.6092483649691103,0.6216823851657372,0.0,0.0135382441114281,0,0.6262721246776739,0.6228136432637109,0.6157066230747474,0.621912045214718,0.2970339710661369,0.23388316243575077,0.26480431237766155
2000-02-08,0.14547460862956196,0.6337991134707036,0.0,0.6253418896564115,0.6019182862426723,0.6054287272929681,0.0,0.02282322293713,0,0.6276348566144397,0.6282576861171649,0.6167860173631282,0.6255546464870486,0.4268811880589609,0.14802495003082036,0.290065232196924
2000-02-09,0.13941471171776837,0.6152927507412457,0.0,0.628125401024974,0.6177061954747457,0.6368151164637312,0.0,0.015094441670512,0,0.6257043178252725,0.6295757123953394,0.6173402992730511,0.6250812343502709,0.3733264566948029,0.11557547477995003,0.3153135343963921
2000-02-10,0.13574211758821558,0.604076830683442,0.0,0.6058574205968649,0.6081206691605211,0.6087915626519258,0.0,0.0139871027690536,0,0.620253401350705,0.6268250327823514,0.6182446561019458,0.6226007428397312,0.3435386002681782,0.13817648857379586,0.3106203560987813
